Date;H;Numbres of faces
27-04-23;16:35:19;1
27-04-23;16:35:21;2
27-04-23;16:35:21;1
27-04-23;16:35:21;0
27-04-23;16:35:23;1
27-04-23;16:35:33;3
27-04-23;16:35:33;2
27-04-23;16:35:33;1
27-04-23;16:35:33;2
27-04-23;16:35:33;1
27-04-23;16:35:33;2
27-04-23;16:35:33;3
27-04-23;16:35:33;2
27-04-23;16:35:34;3
27-04-23;16:35:34;2
27-04-23;16:35:34;3
27-04-23;16:35:34;2
27-04-23;16:35:34;3
27-04-23;16:35:34;2
27-04-23;16:35:34;3
27-04-23;16:35:34;2
27-04-23;16:35:34;3
27-04-23;16:35:34;2
27-04-23;16:35:35;3
27-04-23;16:35:35;2
27-04-23;16:35:36;3
27-04-23;16:35:36;2
27-04-23;16:35:36;1
27-04-23;16:35:36;2
27-04-23;16:35:36;1
27-04-23;16:35:36;2
27-04-23;16:35:36;1
Date;Heure;Nombre de visages détectés
2023-04-27;16:39:29;1
2023-04-27;16:39:31;0
2023-04-27;16:39:31;1
2023-04-27;16:39:31;0
2023-04-27;16:39:32;1
2023-04-27;16:39:32;0
2023-04-27;16:39:32;1
2023-04-27;16:39:32;0
2023-04-27;16:39:32;2
2023-04-27;16:39:32;1
2023-04-27;16:39:32;2
2023-04-27;16:39:32;0
2023-04-27;16:39:32;1
2023-04-27;16:39:33;0
2023-04-27;16:39:33;1
2023-04-27;16:39:33;0
2023-04-27;16:39:33;1
2023-04-27;16:39:33;0
2023-04-27;16:39:33;1
2023-04-27;16:39:33;0
2023-04-27;16:39:33;1
2023-04-27;16:39:34;0
2023-04-27;16:39:34;1
2023-04-27;16:39:34;0
2023-04-27;16:39:34;1
2023-04-27;16:39:34;0
2023-04-27;16:39:34;1
2023-04-27;16:39:36;2
2023-04-27;16:39:36;1
